ncit_code,preferred_term,codelist_testcd,question_count,mapped_structurally,synonyms,definition,display_name,semantic_type,UMLS_CUI,NCIm_CUI,codelist_membership
C141676,10 Meter Walk/Run Functional Test Question,TENMW1TC,4,True,,A question associated with the 10 Meter Walk/Run functional test.,,Intellectual Product,,CL539766,
C141679,4 Stair Ascend Functional Test Question,A4STR1TC,4,True,,A question associated with the 4 Stair Ascend functional test.,,Intellectual Product,,CL539779,
C141678,4 Stair Descend Functional Test Question,D4STR1TC,4,True,,A question associated with the 4 Stair Descend functional test.,,Intellectual Product,,CL539780,
C115409,6MWT Functional Test Question,SIXMW1TC,6,True,,A question associated with the 6MWT functional test.,,Intellectual Product,C3900189,,
C100106,ADAS-Cog CDISC Version Functional Test Question,ADCTC,111,True,,A question associated with the ADAS-Cog CDISC version functional test.,,Intellectual Product,C3639096,,
C106672,ADCS-ADL MCI Questionnaire Question,ADL03TC,92,True,,A question associated with the ADCS-ADL MCI questionnaire.,,Intellectual Product,C3831685,,
C105146,ADCS-ADL Questionnaire Question,ADL01TC,79,True,,A question associated with the ADCS-ADL questionnaire.,,Intellectual Product,C3831645,,
C106673,ADCS-ADL Severe Dementia Questionnaire Question,ADL02TC,38,True,,A question associated with the ADCS-ADL Severe Dementia questionnaire.,,Intellectual Product,C3831624,,
C103490,ADCS-CGIC Questionnaire Question,ACGC01TC,1,True,,A question associated with the ADCS-CGIC questionnaire.,,Intellectual Product,C3641305,,
C101870,ADNI-AVLT Questionnaire Question,AVL01TC,138,True,,A question associated with the ADNI version of the AVLT questionnaire.,,Intellectual Product,C3640276,,
C163398,ADSD Version 1.0 Questionnaire Question,ADSD01TC,7,True,,A question associated with the ADSD Version 1.0 questionnaire.,,Intellectual Product,,CL976672,
C101869,AIMS Clinical Classification Question,AIMS01TC,12,True,,A question associated with the AIMS questionnaire.,,Intellectual Product,C3640275,,
C141675,AJCC v7 Clinical Classification Question,AJCC1TC,5,True,,A question associated with the AJCC v7 clinical classification.,,Intellectual Product,,CL539767,
C163399,ANSD Version 1.0 Questionnaire Question,ANSD01TC,7,True,,A question associated with the ANSD Version 1.0 questionnaire.,,Intellectual Product,,CL976671,
C120994,APACHE II Clinical Classification Question,APCH1TC,20,True,,A question associated with the APACHE II clinical classification.,,Intellectual Product,C4055602,,
C176052,APGAR Score Version 1 Clinical Classification Question,APGR01TC,6,True,,A question associated with the APGAR Score Version 1 clinical classification.,,Intellectual Product,,CL1413460,
C112456,AQ20 Questionnaire Question,AQ01TC,20,True,,A question associated with the AQ20 questionnaire.,,Intellectual Product,C3831489,,
C119091,ARC STC Grade Clinical Classification Question,STCG01TC,1,True,,A question associated with the ARC STC Grade clinical classification.,,Intellectual Product,C3900160,,
C119090,ARC STC Timing Clinical Classification Question,,1,False,,A question associated with the ARC STC Timing clinical classification.,,Intellectual Product,C3900158,,
C225075,ARCI-49 Questionnaire Question,ARCI01TC,54,True,,A question associated with the Addiction Research Center Inventory 49 Check-list (ARCI-49) questionnaire.,,Intellectual Product,,,
C124691,ASCVD 10-Year Risk Estimator Clinical Classification Question,ASCVD1TC,1,True,,A question associated with the ASCVD 10-Year Risk Estimator clinical classification.,,Intellectual Product,C4085921,,
C125750,ASEX-Female Version Questionnaire Question,ASEX01TC,6,True,,A question associated with the ASEX-Female Version questionnaire.,,Intellectual Product,,CL504405,
C125751,ASEX-Male Version Questionnaire Question,ASEX02TC,6,True,,A question associated with the ASEX-Male Version questionnaire.,,Intellectual Product,,CL504406,
C124692,ASSIGN Score Clinical Classification Question,ASSG01TC,1,True,,A question associated with the ASSIGN Score clinical classification.,,Intellectual Product,C4085924,,
C147551,ATLAS Clinical Classification Question,ATLAS1TC,6,True,,A question associated with the ATLAS clinical classification.,,Intellectual Product,,CL545416,
C119081,AUDIT Questionnaire Question,ADT01TC,11,True,,A question associated with the AUDIT questionnaire.,,Intellectual Product,C3900142,,
C225076,AUDIT-C Interview Version Questionnaire Question,ADTC03TC,4,True,,A question associated with the Alcohol Use Disorders Identification Test-Concise Interview Version (AUDIT-C Interview Version) questionnaire.,,Intellectual Product,,,
C119082,AUDIT-C Questionnaire Question,ADTC01TC,3,True,,A question associated with the AUDIT-C questionnaire.,,Intellectual Product,C3900138,,
C225077,AUDIT-C Self-Report Version Questionnaire Question,ADTC02TC,4,True,,A question associated with the Alcohol Use Disorders Identification Test-Concise Self-Report Version (AUDIT-C Self-Report Version) questionnaire.,,Intellectual Product,,,
C123657,AVLT-REY Functional Test Question,AVL02TC,36,True,,A question associated with the AVLT-REY functional test.,,Intellectual Product,C4055566,,
C161631,AVPU Clinical Classification Question,AVPU01TC,1,True,,A question associated with the AVPU clinical classification.,,Intellectual Product,,CL970325,
C120999,BACS Functional Test Question,BACS1TC,13,True,,A question associated with the BACS functional test.,,Intellectual Product,C4055404,,
C101871,BARS Clinical Classification Question,BARS01TC,4,True,,A question associated with the BARS questionnaire.,,Intellectual Product,C3640277,,
C106674,BDI Clinical Classification Question,BDI01TC,4,True,,A question associated with the BDI questionnaire.,,Intellectual Product,C3831385,,
C135702,BEBQ Concurrent Version Questionnaire Question,BEBQ01TC,18,True,,A question associated with the BEBQ Concurrent Version questionnaire.,,Intellectual Product,,CL523021,
C135703,BEBQ Retrospective Version Questionnaire Question,BEBQ02TC,18,True,,A question associated with the BEBQ Retrospective Version questionnaire.,,Intellectual Product,,CL523022,
