codelist_testcd,instrument_label,question_count,instrument_ncit_code,instrument_ncit_name,match_method,container_ncit_code,container_name,has_container,has_instrument,instrument_definition
ACGC01TC,Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change Questionnaire,1,C103515,Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change Questionnaire,exact,C103490,ADCS-CGIC Questionnaire Question,True,True,"A standardized rating scale developed by Lon S. Schneider in 1997 to evaluate a clinically relevant change in an individual's Alzheimer's Disease symptoms. This instrument consists of an interview that is given to both the patient and their caregiver by a clinician at a baseline visit and then is repeated at the 2, 6, and 12 month visits. Based on the information gather at the 2, 6, and 12 month visits, the clinician rates the patients change from baseline on a 7 increment scale ranging from 'Marked Improvement' to 'Marked Worsening.'"
ADSD01TC,Asthma Daytime Symptom Diary v1.0 Questionnaire,7,C163811,Asthma Daytime Symptom Diary V1.0 Questionnaire,exact,C163398,ADSD Version 1.0 Questionnaire Question,True,True,"A six-item self-administered questionnaire, developed by Gater et al. in 2016, that utilizes a ten-point rating scale to assess a patient's experience with core asthma symptoms during the preceding day, including difficulty breathing, wheezing, shortness of breath, chest tightness, chest pain, and cough."
ADTC02TC,Alcohol Use Disorders Identification Test-Concise Self-Report Version Questionnaire,4,C225102,Alcohol Use Disorders Identification Test-Concise Self-Report Version Questionnaire,exact,C225077,AUDIT-C Self-Report Version Questionnaire Question,True,True,The self-report version of a standardized questionnaire developed by the World Health Organization (WHO) in 2001 as a modification to the original Alcohol Use Disorder Identification Test (AUDIT). It contains three questions and utilizes a five-point response scale to screen for hazardous drinking.
ADTC03TC,Alcohol Use Disorders Identification Test-Concise Interview Version Questionnaire,4,C225101,Alcohol Use Disorders Identification Test-Concise Interview Version Questionnaire,exact,C225076,AUDIT-C Interview Version Questionnaire Question,True,True,The interview version of a standardized questionnaire developed by the World Health Organization (WHO) in 2001 as a modification to the original Alcohol Use Disorder Identification Test (AUDIT). It contains three questions and utilizes a five-point response scale to screen for hazardous drinking.
AIMS01TC,Abnormal Involuntary Movement Scale Clinical Classification,12,C102111,Abnormal Involuntary Movement Scale Clinical Classification,exact,C101869,AIMS Clinical Classification Question,True,True,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'"
ANSD01TC,Asthma Nighttime Symptom Diary v1.0 Questionnaire,7,C163812,Asthma Nighttime Symptom Diary V1.0 Questionnaire,exact,C163399,ANSD Version 1.0 Questionnaire Question,True,True,"A six-item self-administered questionnaire, developed by Gater et al. in 2016, that utilizes a ten-point rating scale to assess a patient's experience with core asthma symptoms during the preceding night, including difficulty breathing, wheezing, shortness of breath, chest tightness, chest pain, and cough."
APCH1TC,Acute Physiology and Chronic Health Evaluation II Clinical Classification,18,C121005,Acute Physiology and Chronic Health Evaluation II Clinical Classification,exact,C120994,APACHE II Clinical Classification Question,True,True,"A standardized rating scale developed by Knaus et al in 1985, which is a classification system used to measure severity of disease. This instrument uses a point score system based on physiological measurements, age and previous health status."
ARCI01TC,Addiction Research Center Inventory 49 Check-list,54,C225100,Addiction Research Center Inventory 49 Check-list,exact,C225075,ARCI-49 Questionnaire Question,True,True,"A standardized, self-report 49-item questionnaire, published in 1971 by Martin et al., that utilizes a true-false response scale to the subjective effects of psychoactive drugs."
ASCVD1TC,Atherosclerotic Cardiovascular Disease 10-Year Risk Estimator Clinical Classification,1,C124705,Atherosclerotic Cardiovascular Disease 10-Year Risk Estimator Clinical Classification,exact,C124691,ASCVD 10-Year Risk Estimator Clinical Classification Question,True,True,"A standardized rating scale developed by Goff et al in 2013, which is a classification system used to estimate 10-year and lifetime risks for atherosclerotic cardiovascular disease (ASCVD). This estimation takes into consideration of an individual's sex, age, race, diabetes and smoking histories, treatment for hypertension, as well as systolic blood pressure, total cholesterol and high-density lipoprotein (HDL) cholesterol levels."
ASSG01TC,ASSIGN Cardiovascular Disease 10-Year Risk Score Clinical Classification,1,C124706,ASSIGN Cardiovascular Disease 10-Year Risk Score Clinical Classification,exact,C124692,ASSIGN Score Clinical Classification Question,True,True,"A standardized rating scale developed by Woodward et al and the Scottish Intercollegiate Guidelines Network (SIGN) in 2007, which is a classification system used to predict 10-year risk of cardiovascular disease."
