codelist_testcd,codelist_instrument_label,best_c20993_code,best_c20993_name,jaccard_score,review_flag,runner_up_code,runner_up_name,runner_up_score,accept
ADCTC,Alzheimer's Disease Assessment Scale - Cognitive CDISC Version Functional Test,C100762,Alzheimer's Disease Assessment Scale-Cognitive CDISC Version Functional Test,1.0,,C214447,Alzheimer's Disease Assessment Scale-Cognitive Date 30th June 2015 Version Functional Test,0.545,
ADL01TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Questionnaire,C105166,Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory Questionnaire,1.0,,C106889,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Questionnaire,0.8,
ADT01TC,Alcohol Use Disorder Identification Test: Self-Report Version Questionnaire,C119097,Alcohol Use Disorder Identification Test Self-Report Version Questionnaire,1.0,,C225102,Alcohol Use Disorders Identification Test-Concise Self-Report Version Questionnaire,0.667,
ADTC01TC,Alcohol Use Disorder Identification Test-Consumption Questions Questionnaire,C119098,Alcohol Use Disorder Identification Test Alcohol Consumption Questions Questionnaire,1.0,,C119097,Alcohol Use Disorder Identification Test Self-Report Version Questionnaire,0.444,
AVL02TC,Rey Auditory Verbal Learning Test Functional Test,C123668,Rey Auditory Verbal Learning Functional Test,1.0,,C102112,Alzheimer's Disease Neuroimaging Initiative Auditory Verbal Learning Test Functional Test,0.4,
CHSF1TC,Craig Handicap Assessment and Reporting Technique - Short Form Interview Version Questionnaire,C117995,Craig Handicap Assessment and Reporting Technique-Short Form Interview Version Questionnaire,1.0,,C119101,Craig Handicap Assessment and Reporting Technique - Short Form Paper Version Questionnaire,0.75,
EOR30TC,European Organization for the Research and Treatment of Cancer Quality of Life - Anal Cancer 27 Items Questionnaire,C183596,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Anal Cancer 27 Items,1.0,,C220248,European Organization for the Research and Treatment of Cancer Quality of Life Questionnaire - Breast Cancer 42 Items,0.667,
EPIC2TC,The Expanded Prostate Cancer Index Composite for Clinical Practice Questionnaire,C127368,Expanded Prostate Cancer Index Composite for Clinical Practice Questionnaire,1.0,,C107630,Expanded Prostate Cancer Index Composite,0.667,
FAC001TC,The Functional Assessment of Cancer Therapy-General Version 4 Questionnaire,C127369,Functional Assessment of Cancer Therapy-General Version 4 Questionnaire,1.0,,C155326,Functional Assessment of Cancer Therapy-Bladder Version 4 Questionnaire,0.714,
FAC052TC,The National Comprehensive Cancer Network/Functional Assessment of Cancer Therapy-Prostate Symptom Index 17 Version 2 Questionnaire,C127370,National Comprehensive Cancer Network/Functional Assessment of Cancer Therapy-Prostate Symptom Index 17 Version 2 Questionnaire,1.0,,C122983,National Comprehensive Cancer Network-Functional Assessment of Cancer Therapy Prostate Symptom Index,0.727,
FPSR1TC,Faces Pain Scale - Revised Questionnaire,C100766,Faces Pain Scale Revised Questionnaire,1.0,,C20995,Pain Assessment Tool,0.333,
GCS01TC,Glasgow Coma Scale NINDS Version 1.0 Clinical Classification,C124710,Glasgow Coma Scale-NINDS Version 1.0 Clinical Classification,1.0,,C176057,Apgar Score Version 1 Clinical Classification,0.4,
HAMD1TC,Hamilton Depression Rating Scale - 17 Item Clinical Classification,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,1.0,,C102119,Hamilton Depression Rating Scale 21-Item Clinical Classification,0.714,
HAMD3TC,Hamilton Depression Rating Scale - 24 Item Clinical Classification,C130307,Hamilton Depression Rating Scale-24 Item Clinical Classification,1.0,,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,0.714,
HAMD4TC,Hamilton Depression Rating Scale - 6 Clinician Version Clinical Classification,C130306,Hamilton Depression Rating Scale 6 Clinician Version Clinical Classification,1.0,,C100767,Hamilton Depression Rating Scale 17 Item Clinical Classification,0.444,
LPPSS1TC,Lansky Play-Performance Status Scale Clinical Classification,C138333,The Lansky Play-Performance Status Scale Clinical Classification,1.0,,C100768,Karnofsky Performance Status Scale Clinical Classification,0.571,
NHPT01TC,Nine-Hole Peg Test Functional Test,C115791,Nine-Hole Peg Functional Test,1.0,,,,,
PASAT1TC,Paced Auditory Serial Addition Test Functional Test,C115792,Paced Auditory Serial Addition Functional Test,1.0,,C150911,Paced Tapping Test Functional Test,0.333,
PASI02TC,Psoriasis Area and Severity Index Version Feldman Clinical Classification,C179972,Psoriasis Area and Severity Index Feldman Version Clinical Classification,1.0,,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,0.75,
PASI03TC,Psoriasis Area and Severity Index Version Fredriksson Clinical Classification,C191040,Psoriasis Area and Severity Index Fredriksson Version Clinical Classification,1.0,,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,0.75,
PASI05TC,Psoriasis Area and Severity Index Version Bozek Clinical Classification,C191042,Psoriasis Area and Severity Index Bozek Version Clinical Classification,1.0,,C179972,Psoriasis Area and Severity Index Feldman Version Clinical Classification,0.75,
PROS01TC,The Prostate Cancer Specific Quality of Life Instrument Questionnaire,C127372,Prostate Cancer Specific Quality of Life Instrument Questionnaire,1.0,,C206485,Menopause-specific Quality of Life Questionnaire,0.5,
QSUB01TC,Questionnaire on Smoking Urges-Brief,C199519,Brief Questionnaire of Smoking Urges,1.0,,,,,
RPQ01TC,Rivermead Post Concussion Symptoms Questionnaire Questionnaire,C119103,Rivermead Post-Concussion Symptoms Questionnaire,1.0,,,,,
SDMT01TC,Symbol Digit Modalities Test Functional Test,C115793,Symbol Digit Modalities Functional Test,1.0,,,,,
SF361TC,"The Short Form 36 Health Survey Standard, US Version 1.0 Questionnaire",C100775,"Short Form 36 Health Survey Standard, US Version 1.0 Questionnaire",1.0,,C174066,"Short Form 12 Health Survey Standard, US Version 1.0 Questionnaire",0.778,
SF362TC,"The Short Form 36 Health Survey Acute, US Version 1.0 Questionnaire",C102120,"Short Form 36 Health Survey Acute, US Version 1.0 Questionnaire",1.0,,C174067,"Short Form 12 Health Survey Acute, US Version 1.0 Questionnaire",0.778,
SF363TC,"The Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire",C102122,"Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire",1.0,,C174068,"Short Form 12 Health Survey Standard, US Version 2.0 Questionnaire",0.778,
SF364TC,"The Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire",C102121,"Short Form 36 Health Survey Acute, US Version 2.0 Questionnaire",1.0,,C174069,"Short Form 12 Health Survey Acute, US Version 2.0 Questionnaire",0.778,
SOAPR1TC,Screener and Opioid Assessment for Patients with Pain - Revised Questionnaire,C100777,Screener and Opioid Assessment for Patients with Pain Revised Questionnaire,1.0,,,,,
T25FW1TC,Timed 25-Foot Walk Test Functional Test,C115794,Timed 25-Foot Walk Functional Test,1.0,,,,,
TUG01TC,Timed Up and Go Test Functional Test,C115795,Timed Up and Go Functional Test,1.0,,C157021,Timed Get Up and Go Test,0.6,
ADL02TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Version Questionnaire,C106889,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Questionnaire,0.909,,C105166,Alzheimer's Disease Cooperative Study Activities of Daily Living Inventory Questionnaire,0.727,
PUL01TC,Performance of the Upper Limb Module for DMD Version 1.2 Functional Test,C138334,Performance of the Upper Limb Module for DMD 1.2 Functional Test,0.889,,C138335,Performance of the Upper Limb Module for DMD 2.0 Functional Test,0.7,
PUL02TC,Performance of the Upper Limb Module for DMD Version 2.0 Functional Test,C138335,Performance of the Upper Limb Module for DMD 2.0 Functional Test,0.889,,C138334,Performance of the Upper Limb Module for DMD 1.2 Functional Test,0.7,
