COSMoS_BC_ID,NCIt_Code,BC_Name,BC_Definition,BC_Synonyms,BC_Type,BC_Scope,TESTCD,TEST,TESTCD_NCIt,Categories,Hierarchy_Path,Parent_Label,Row_Type,Domains_with_DS,DS_Code,DS_Name,Domain,Domain_Class,Result_Scale,Specimen,Specimen_NCIt,Method,Method_NCIt,LOINC_Code_Count,LOINC_Code,Allowed_Units,Standard_Unit,COSMoS_Category,COSMoS_Subcategory,Decimal_Places,location,laterality,evaluator
C103346,C103346,Abdominal Skinfold Thickness,A measurement for determining the subcutaneous fat layer thickness whereby a pinch of skin approximately five centimeters to the right of the umbilicus is measured using calipers.,ABSKNF,full,Subject,ABSKNF,Abdominal Skinfold Thickness,C103346,Body Measurements; Vital Signs,Skinfold Thickness Analysis,Skinfold Thickness Analysis,DSS,VS,ABSKNF,Abdominal Skinfold Thickness,VS,Findings,Quantitative,,,,,0.0,,mm,,,,3.0,,,
C189634,C189634,Additional Disease-Related Findings,"A determination of additional abnormalities and/or other observations that may be associated with the disease of interest, for which a targeted test has not been identified in the data.",ADDRELF,full,Subject,ADDRELF,Additional Disease-Related Findings,C189634,Respiratory System Findings,Finding by Cause,Finding by Cause,DSS,RE,ADDRELF_RE,Additional Disease-Related Findings (RE),RE,Findings,Qualitative,,,,,0.0,,,,,,2.0,,,
C170620,C170620,Air Trapping Measurement,A measurement of the gas retention in a specified intrapulmonary space at the end of exhalation.,Air Trapping;AIRTRAP,full,Subject,AIRTRAP,Air Trapping,C170620,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,AIRTRAP_RE,Air Trapping (RE),RE,Findings,Quantitative,,,,,0.0,,mL; L,,,,3.0,,,
C124422,C124422,Airway Conductance,"The instantaneous rate of gas flow in the airway, expressed as the pressure difference between any given part of the airway and the alveoli; it is the reciprocal of airway resistance (Raw).",GAW,full,Subject,GAW,Airway Conductance,C124422,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,GAW_RE,Airway Conductance (RE),RE,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C120927,C120927,Airway Resistance,An assessment of the opposition to airflow through the respiratory tract on inspiration and/or expiration.,AIRRES;RAW;Raw,full,Subject,RAW,Airway Resistance,C120927,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,RAW_RE,Airway Resistance (RE),RE,Findings,Quantitative,,,,,0.0,,cmH2O*s/mL,cmH2O*s/mL,,,3.0,,,
C170457,C170457,Airway Volume,The total volume of gas in a specified airway or set of airways at a specified point in time in the respiratory cycle.,AWVOL,full,Subject,AWVOL,Airway Volume,C170457,Respiratory System Findings,Volume,Volume,DSS,RE,AWVOL_RE,Airway Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL,mL,,,3.0,,,
C170619,C170619,Airway Wall Volume,The volume of the entirety of the airway tissue in a specified intrapulmonary region.,AWWVOL,full,Subject,AWWVOL,Airway Wall Volume,C170619,Respiratory System Findings,Volume > Airway Volume,Airway Volume,DSS,RE,AWWVOL_RE,Airway Wall Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL,mL,,,3.0,,,
C103453,C103453,Albumin to Total Protein Ratio Measurement,The determination of the ratio of the albumin compared with total protein in a biological sample. The measurement may be expressed as a ratio or percentage.,Albumin/Total Protein;ALBPROT,full,Subject,ALBPROT,Albumin/Total Protein,C103453,Chemistry Tests; Laboratory Tests; Ratio Measurements,Chemistry Test > Liver Function Test > Albumin Measurement,Albumin Measurement,DSS,LB,ALBPROTURIN,Albumin/Total Protein in Urine,LB,Findings,Quantitative,URINE,C13283,,,1.0,13992-3,%; g/g; g/kg,g/g,CHEMISTRY,,5.0,,,
C156584,C156584,Alveolar Volume,The quantity of fresh gas that enters the alveoli during inspiration.,ALVVOL;VA,full,Subject,ALVVOL,Alveolar Volume,C156584,Pulmonary Function Test; Respiratory System Findings,Pulmonary Function Test,Pulmonary Function Test,DSS,RE,ALVVOL_RE,Alveolar Volume (RE),RE,Findings,Quantitative,,,,,0.0,,mL; L,,,,3.0,,,
C172255,C172255,Anatomical Circumference,Measurements of body parts that have a measurable distance around them.,,hierarchy_only,Subject,,,,Body Measurements; Vital Signs,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C87304,C87304,Ankle-Brachial Index,"The ratio of ankle systolic pressure to brachial systolic pressure, used to assess arterial insufficiency in the lower extremities.",ABI;Ankle-Arm Index;Ankle-Arm Pressure Index;Ankle-Brachial Pressure Index,full,Subject,ABI,Ankle-Brachial Index,C87304,Blood Pressure; Vital Signs,Diagnostic Factor,Diagnostic Factor,DSS,VS,ABI,Ankle-Brachial Index,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C181553,C181553,Arm Span,"A measurement of the length from the tip of the middle finger on one hand to the tip of the middle finger on the other hand with the individual standing against the wall with both arms abducted to 90 degrees, the elbows and wrists extended, and the palms facing directly forward. (Philip H. Quanjer, Andre Capderou, Mumtaz M. Mazicioglu, Ashutosh N. Aggarwal, Sudip Datta Banik, Stevo Popovic, Francis A.K. Tayie, Mohammad Golshan, Mary S.M. Ip, Marc Zelter. European Respiratory Journal 2014 44: 905-912)",ARMSPAN;Armspan;Reach;Wingspan,full,Subject,ARMSPAN,Arm Span,C181553,Body Measurements; Vital Signs,,,DSS,VS,ARMSPAN,Arm Span,VS,Findings,Quantitative,,,,,0.0,,cm; ft; in; m,,,,3.0,,,
C163567,C163567,BMI-for-Age Percentile,"A measurement of an individual's body mass index in relationship to age, in comparison to a reference percentile curve.",BMIAPCTL,full,Subject,BMIAPCTL,BMI-for-Age Percentile,C163567,Body Measurements; Vital Signs,,,DSS,VS,BMIAPCTL,BMI-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C126083,C126083,Basal Metabolic Rate,A patient's energy expenditure at rest.,BMR,full,Subject,BMR,Basal Metabolic Rate,C126083,Energy Expenditure; Vital Signs,Characteristic > Organism Characteristic,Organism Characteristic,DSS,VS,BMR,Basal Metabolic Rate,VS,Findings,Quantitative,,,,,0.0,,kcal/day; Watt,,,,3.0,,,
C76325,C76325,Birth Weight,The first weight of a newborn obtained after birth.,BRTHWT,full,Subject,BRTHWT,Birth Weight,C76325,Body Measurements; Vital Signs,Weight,Weight,DSS,VS,BRTHWT,Birth Weight,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB; oz,,,,3.0,,,
C94866,C94866,Blood Flow Rate,"The volume of blood per unit time passing through a specified location, such as a point in a blood vessel or an entire organ. Units are ml/sec.",Blood Flow Rate;BLDFLRT,full,Subject,BLDFLRT,Blood Flow Rate,C94866,Clinical Test Result; Findings; Renal Function Tests; Respiratory System Findings; Urinary System Findings,Flow Rate,Flow Rate,DSS,RE; UR,BLDFLRT_RE,Blood Flow Rate (RE),RE,Findings,Quantitative,,,,,0.0,,cm/s,cm/s,,,7.0,,,
C199996,C199996,Body Cell Mass Measurement,An estimated measurement of the total mass of metabolically active cells in the body.,BCM;Body Cell Mass,full,Subject,BCM,Body Cell Mass,C199996,Mass Measurement; Vital Signs,Mass Measurement,Mass Measurement,DSS,VS,BCM,Body Cell Mass,VS,Findings,Quantitative,,,,,0.0,,g; kg; LB,,,,3.0,,,
C122232,C122232,Body Fat Measurement,A measurement of the total fat mass within the subject's body.,BODYFATM,full,Subject,BODYFATM,Body Fat Measurement,C122232,Body Measurements; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,BODYFATM,Body Fat Measurement,VS,Findings,Quantitative,,,,,0.0,,%,,,,3.0,,,
C205752,C205752,Body Length-for-Age Percentile,"A measurement of an individual's body length in relationship to age, in comparison to a reference percentile curve.",BLAPCTL,full,Subject,BLAPCTL,Body Length-for-Age Percentile,C205752,Body Measurements; Vital Signs,,,DSS,VS,BLAPCTL,Body Length-for-Age Percentile,VS,Findings,Quantitative,,,,,0.0,,,,,,2.0,,,
C215116,C215116,Body Organ or System Test,Assessment of a body organ or a body system to find irregularities or dysfunction.,,hierarchy_only,Subject,,,,Respiratory System Findings,,,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
C25157,C25157,Body Surface Area,"A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.",BSA,full,Subject,BSA,Body Surface Area,C25157,Body Measurements; Vital Signs,Personal Attribute,Personal Attribute,DSS,VS,BSA,Body Surface Area,VS,Findings,Quantitative,,,,,0.0,,m2,,,,3.0,,,
C164325,C164325,Body Temperature Measurement,The result of the measurement of the body temperature.,Vital Signs - Body Temperature,hierarchy_only,Subject,,,,Temperature; Vital Signs,Physical Examination Finding,Physical Examination Finding,BC_only_hierarchy,,,,,,,,,,,,,,,,,,,,
