COSMoS_BC_ID,DS_Code,column,old,new
C105448,FAILRAND,BC_Name,Failure to Meet Randomization Criteria,Failure to Meet Randomization Criteria [RETIRED]
C105448,FAILRAND,BC_Definition,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group. [RETIRED]
C105448,FAILRAND,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C105448,FAILRAND,Hierarchy_Path,Protocol Disposition Event,
C105448,FAILRAND,Parent_Label,Protocol Disposition Event,
C105448,FAILRAND,DS_Name,Failure to Meet Randomization Criteria,Failure to Meet Randomization Criteria [RETIRED]
C105448,FAILRAND,Result_Scale,Nominal,
C105448,FAILRAND,Decimal_Places,5.0,
C106576,,BC_Name,Trial Site Terminated by Sponsor,Trial Site Terminated by Sponsor [RETIRED]
C106576,,BC_Definition,An indication that a clinical study was stopped at a particular site by its sponsor.,An indication that a clinical study was stopped at a particular site by its sponsor. [RETIRED]
C106576,,BC_Synonyms,Site Terminated By Sponsor,
C106576,,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C106576,,Result_Scale,Nominal,
C106576,,Decimal_Places,5.0,
C119241,,BC_Synonyms,,SYMPINDC
C119241,,Categories,Indicator,Clinical Findings Indicator; Musculoskeletal Finding; Reproductive Findings; Reproductive Findings; Respiratory System Findings; Skin Response; Symptom Indicator; Symptom Indicator
C119293,PO2FIO2ARTERIAL,Categories,Blood Oxygen Levels; Laboratory Tests,Blood Oxygen Levels; Laboratory Tests; Respiratory System Findings
C119293,PO2FIO2ARTERIAL,Domains_with_DS,LB,LB; RE
C139236,FAILCONT,BC_Name,Failure To Meet Continuation Criteria,Failure To Meet Continuation Criteria [RETIRED]
C139236,FAILCONT,BC_Definition,An indication that the subject has not been able to meet protocol-defined continuation criteria and will not continue to participate in the clinical trial.,An indication that the subject has not been able to meet protocol-defined continuation criteria and will not continue to participate in the clinical trial. [RETIRED]
C139236,FAILCONT,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C139236,FAILCONT,Hierarchy_Path,Protocol Disposition Event,
C139236,FAILCONT,Parent_Label,Protocol Disposition Event,
C139236,FAILCONT,DS_Name,Failure to Meet Continuation Criteria,Failure to Meet Continuation Criteria [RETIRED]
C139236,FAILCONT,Result_Scale,Nominal,
C139236,FAILCONT,Decimal_Places,5.0,
C156629,,Hierarchy_Path,Adverse Event,Adverse Event [RETIRED]
C156629,,Parent_Label,Adverse Event,Adverse Event [RETIRED]
C158256,FATMASS,Hierarchy_Path,Characteristic,Characteristic > Organism Characteristic
C158256,FATMASS,Parent_Label,Characteristic,Organism Characteristic
C161410,,BC_Name,Subject Removed at Sponsor Request,Subject Removed at Sponsor Request [RETIRED]
C161410,,BC_Definition,An indication that the study subject was removed from the study at the sponsor's request.,An indication that the study subject was removed from the study at the sponsor's request. [RETIRED]
C161410,,BC_Synonyms,Sponsor Request,
C161410,,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C161410,,Result_Scale,Nominal,
C161410,,Decimal_Places,5.0,
C179175,AE,Hierarchy_Path,Adverse Event,Adverse Event [RETIRED]
C179175,AE,Parent_Label,Adverse Event,Adverse Event [RETIRED]
C179175,AEPRESP,Hierarchy_Path,Adverse Event,Adverse Event [RETIRED]
C179175,AEPRESP,Parent_Label,Adverse Event,Adverse Event [RETIRED]
C179176,,Hierarchy_Path,Adverse Event,Adverse Event [RETIRED]
C179176,,Parent_Label,Adverse Event,Adverse Event [RETIRED]
C181043,,BC_Synonyms,,Clinical Finding Indicator
C181043,,Categories,Disease Response; Disease Response Criteria; Disease Response and Clinical Classification; Oncology Standards; RS,Disease Response; Disease Response Criteria; Disease Response and Clinical Classification; Oncology Standards; RS; Respiratory System Findings
C191656,SUBJPREG,BC_Name,Pregnant Subject,Pregnant Subject [RETIRED]
C191656,SUBJPREG,BC_Definition,An indication that the study subject is pregnant.,An indication that the study subject is pregnant. [RETIRED]
C191656,SUBJPREG,BC_Synonyms,Pregnancy,
C191656,SUBJPREG,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C191656,SUBJPREG,DS_Name,Subject Pregnancy,Subject Pregnancy [RETIRED]
C191656,SUBJPREG,Result_Scale,Nominal,
C191656,SUBJPREG,Decimal_Places,5.0,
C25180,,Categories,Clinical Trial Attribute; Indicator; Trial Summary,Clinical Findings Indicator; Clinical Trial Attribute; Death Diagnosis and Details; Disease Response; Event Occurrence Indicators; Exposure; Indicator; Oncology Standards; Recurrence; Reproductive Findings; Respiratory System Findings; TU; Trial Summary; Tumor/Lesion Identification; Urinary System Findings
C25250,PROTCOMP,BC_Name,Complete,Complete [RETIRED]
C25250,PROTCOMP,BC_Definition,To possess every necessary or normal part or component or step; having come or been brought to a conclusion.,To possess every necessary or normal part or component or step; having come or been brought to a conclusion. [RETIRED]
C25250,PROTCOMP,BC_Synonyms,Completed;Completion;Completely,
C25250,PROTCOMP,Categories,Protocol Disposition Events; Subject Disposition,Subject Disposition
C25250,PROTCOMP,DS_Name,Protocol Completed,Protocol Completed [RETIRED]
C25250,PROTCOMP,Result_Scale,Nominal,
C25250,PROTCOMP,Decimal_Places,5.0,
