TESTCD,TEST,NCIt_Code,COSMoS_BC_ID,BC_Name,BC_Type,DS_Code,DS_Name,COSMoS_Category,Domain,Domain_Class,Result_Scale,Method,Method_NCIt,Allowed_Units,Standard_Unit,location,laterality,evaluator
ABSKNF,Abdominal Skinfold Thickness,C103346,C103346,Abdominal Skinfold Thickness,full,ABSKNF,Abdominal Skinfold Thickness,,VS,Findings,Quantitative,,,mm,,,,
ABI,Ankle-Brachial Index,C87304,C87304,Ankle-Brachial Index,full,ABI,Ankle-Brachial Index,,VS,Findings,Quantitative,,,,,,,
ARMSPAN,Arm Span,C181553,C181553,Arm Span,full,ARMSPAN,Arm Span,,VS,Findings,Quantitative,,,cm; ft; in; m,,,,
BMIAPCTL,BMI-for-Age Percentile,C163567,C163567,BMI-for-Age Percentile,full,BMIAPCTL,BMI-for-Age Percentile,,VS,Findings,Quantitative,,,,,,,
BMR,Basal Metabolic Rate,C126083,C126083,Basal Metabolic Rate,full,BMR,Basal Metabolic Rate,,VS,Findings,Quantitative,,,kcal/day; Watt,,,,
BRTHWT,Birth Weight,C76325,C76325,Birth Weight,full,BRTHWT,Birth Weight,,VS,Findings,Quantitative,,,g; kg; LB; oz,,,,
BCM,Body Cell Mass,C199996,C199996,Body Cell Mass Measurement,full,BCM,Body Cell Mass,,VS,Findings,Quantitative,,,g; kg; LB,,,,
BODYFATM,Body Fat Measurement,C122232,C122232,Body Fat Measurement,full,BODYFATM,Body Fat Measurement,,VS,Findings,Quantitative,,,%,,,,
BLAPCTL,Body Length-for-Age Percentile,C205752,C205752,Body Length-for-Age Percentile,full,BLAPCTL,Body Length-for-Age Percentile,,VS,Findings,Quantitative,,,,,,,
BSA,Body Surface Area,C25157,C25157,Body Surface Area,full,BSA,Body Surface Area,,VS,Findings,Quantitative,,,m2,,,,
CALFCIR,Calf Circumference,C178060,C178060,Calf Circumference,full,CALFCIR,Calf Circumference,,VS,Findings,Quantitative,,,cm; in; mm,,,,
CPLRFLT,Capillary Refill Time,C168125,C168125,Capillary Refill Test,full,CPLRFLT,Capillary Refill Time,,VS,Findings,Quantitative,,,s,,,,
CHESTCIR,Chest Circumference,C156606,C156606,Chest Circumference,full,CHESTCIR,Chest Circumference,,VS,Findings,Quantitative,,,cm; in; mm,,,,
