Code,CDISC_Submission_Value,Codelist_Name,Codelist_Extensible,Assigned_Category,Confidence,Note
C141657,TENMW1TC,10-Meter Walk/Run Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C141656,TENMW1TN,10-Meter Walk/Run Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C141663,A4STR1TC,4-Stair Ascend Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C141662,A4STR1TN,4-Stair Ascend Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C141661,D4STR1TC,4-Stair Descend Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C141660,D4STR1TN,4-Stair Descend Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C115388,SIXMW1TC,6 Minute Walk Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C115387,SIXMW1TN,6 Minute Walk Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C182464,AIMS0101T07OR,Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0101 Through AIMS0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182465,AIMS0108T09OR,Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0108 Through AIMS0109 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182466,AIMS0110OR,Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0110 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182467,AIMS0111T12OR,Abnormal Involuntary Movement Scale Clinical Classification ORRES for AIMS0111 Through AIMS0112 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182502,AIMS0101T07STR,Abnormal Involuntary Movement Scale Clinical Classification STRESC for AIMS0101 Through AIMS0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182503,AIMS0108T09STR,Abnormal Involuntary Movement Scale Clinical Classification STRESC for AIMS0108 Through AIMS0109 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182504,AIMS0110STR,Abnormal Involuntary Movement Scale Clinical Classification STRESC for AIMS0110 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182505,AIMS0111T12STR,Abnormal Involuntary Movement Scale Clinical Classification STRESC for AIMS0111 Through AIMS0112 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C101805,AIMS01TC,Abnormal Involuntary Movement Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101806,AIMS01TN,Abnormal Involuntary Movement Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C189265,ACCPARTY,Accountable Party,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C66767,ACN,Action Taken with Study Treatment,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C204420,TPACN,Action Taken with Tobacco Product,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C101865,ACSPCAT,Acute Coronary Syndrome Presentation Category,No,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C182484,APCH101OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182485,APCH102OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182486,APCH103OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182487,APCH104OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182488,APCH105AOR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH105A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182489,APCH105BOR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH105B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182490,APCH106AOR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH106A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182491,APCH106BOR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH106B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182492,APCH107OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182493,APCH108OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH108 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182494,APCH109OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH109 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182495,APCH110OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH110 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182496,APCH111OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH111 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182497,APCH114OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH114 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182498,APCH115OR,Acute Physiology and Chronic Health Evaluation II Clinical Classification ORRES for APCH115 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182522,APCH101STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182523,APCH102STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182524,APCH103STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182525,APCH104STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182526,APCH105ASTR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH105A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182527,APCH105BSTR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH105B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182528,APCH106ASTR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH106A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182529,APCH106BSTR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH106B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182530,APCH107STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182531,APCH108STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH108 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182532,APCH109STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH109 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182533,APCH110STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH110 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182534,APCH111STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH111 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182535,APCH114STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH114 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
